title,make,model,trim ,year,mileagekm,location,fueltype,registeredcity,color,enginecapacitycc,assembly,automatic,pricePKR
Toyota Corolla GLi 1.3 VVTi 2009,Toyota,Corolla,GLi 1.3 VVTi  ,2009,144000,,Petrol,Lahore,Green,1300,,,178000
Changan Alsvin 1.5L DCT Lumiere 2022,Changan,Alsvin,1.5L DCT Lumiere  ,2022,5,,Petrol,Un-Registered,White,1500,,Automatic,308000
Daihatsu Cuore CX Ecomatic 2007,Daihatsu,Cuore,CX Ecomatic   ,2007,112000,Husaini chowk Ranger market hasil pur road,Petrol,Lahore,White,800,,Automatic,75000
Toyota Corolla Altis Automatic 1.6 2020,Toyota,Corolla,Altis Automatic 1.6  ,2020,40000,"Goga Car Classic  Shop No. 5, 45- Fayyaz Plaza, Near PIA Building, Fazl-haq Road, Blue Area, Islamabad.03006088001",Petrol,Islamabad,White,1600,,Automatic,380000
Toyota Passo G 1.0 2006,Toyota,Passo,G 1   ,2006,98000,,Petrol,Karachi,Silver,1000,Imported,Automatic,122500
Proton X70 Premium FWD 2021,Proton,X70,Premium FWD   ,2021,17000,"12A Ronaq Trade Centre, Service Lane Shop No. 4&5",Petrol,Sindh,White,1500,Imported,Automatic,659000
Toyota Hilux Revo V Automatic 3.0  2017,Toyota,Hilux,Revo V Automatic 3 ,2017,60000,"34-A, Jail Road Lahore",,Islamabad,Black,3000,,Automatic,720000
Suzuki Cultus EURO II 2008,Suzuki,Cultus,EURO II   ,2008,2586,,Petrol,Lahore,Maroon,1000,,,85000
Suzuki APV GLX 2007,Suzuki,APV,GLX    ,2007,172900,,Petrol,Lahore,Gold,1500,,,145000
Suzuki Bolan VX Euro II 2016,Suzuki,Bolan,VX Euro II  ,2016,59500,,Petrol,Lahore,White,800,,,89000
Suzuki Mehran VXR (CNG) 2010,Suzuki,Mehran,VXR (CNG)   ,2010,20000,,Petrol,Lahore,Grey,800,,,65000
Honda Vezel Hybrid Z Honda Sensing  2016,Honda,Vezel,Hybrid Z Honda Sensing ,2016,39780,,,Un-Registered,Silver,1500,Imported,Automatic,507500
Honda Civic Oriel 1.8 i-VTEC CVT 2018,Honda,Civic,Oriel 1.8 i-VTEC CVT ,2018,52000,,Petrol,Punjab,White,1800,,Automatic,385000
Suzuki Bolan VX Euro II 2021,Suzuki,Bolan,VX Euro II  ,2021,7000,,Petrol,Islamabad,White,800,,,128000
Honda Civic RS 2022,Honda,Civic,RS    ,2022,5,,Petrol,Un-Registered,Grey,1500,,Automatic,735000
Honda Civic VTi 1.8 i-VTEC 2012,Honda,Civic,VTi 1.8 i-VTEC  ,2012,117000,,Petrol,Islamabad,Silver,1800,,,230000
Suzuki Wagon R VXL 2016,Suzuki,Wagon,R VXL   ,2016,890000,,Petrol,Lahore,Silver,1000,,,155000
Honda BR-V i-VTEC S 2022,Honda,BR-V,i-VTEC S   ,2022,1,,Petrol,Islamabad,White,1500,,Automatic,430000
Suzuki Bolan 2011,Suzuki,Bolan,    ,2011,60000,,Petrol,Rawalpindi,White,800,,,98500
Suzuki Alto VXL AGS 2022,Suzuki,Alto,VXL AGS   ,2022,45,,Petrol,Un-Registered,Silver,660,,Automatic,220000
Toyota Corolla XLi VVTi 2017,Toyota,Corolla,XLi VVTi   ,2017,54000,,Petrol,Islamabad,White,1300,,,259000
FAW X-PV Standard 2017,FAW,X-PV,Standard    ,2017,30000,,Petrol,Punjab,Silver,1000,,,85000
Toyota Surf SSR-G 3.4 2003,Toyota,Surf,SSR-G 3.4   ,2003,162000,6th road near Nawaz Sharif park,Petrol,Lahore,White,3400,Imported,Automatic,695000
Honda Civic Oriel Prosmatec UG 2015,Honda,Civic,Oriel Prosmatec UG  ,2015,142000,,Petrol,Islamabad,Black,1800,,Automatic,280000
Toyota Prado RZ 3.0D (3-Door) 1996,Toyota,Prado,RZ 3.0D (3-Door)  ,1996,98000,,,Multan,Red,3000,Imported,Automatic,295000
Toyota Passo X G Package 2013,Toyota,Passo,X G Package  ,2013,100000,,Petrol,Islamabad,Silver,1000,Imported,Automatic,205000
Suzuki Liana LXi 2007,Suzuki,Liana,LXi    ,2007,147000,,Petrol,Karachi,White,1300,,,83500
Changan Alsvin 1.5L DCT Lumiere 2022,Changan,Alsvin,1.5L DCT Lumiere  ,2022,10,jail road Lahore,Petrol,Un-Registered,Grey,1500,,Automatic,
Toyota Corolla XLi VVTi 2010,Toyota,Corolla,XLi VVTi   ,2010,130000,,Petrol,Sindh,Black,1300,,,154000
Honda CR-Z Sports Hybrid Alpha 2021,Honda,CR-Z,Sports Hybrid Alpha  ,2021,67000,Main Boulevard DHA Lahore,Petrol,Lahore,Yellow,1500,Imported,Automatic,242500
Honda City Aspire 1.5 i-VTEC 2013,Honda,City,Aspire 1.5 i-VTEC  ,2013,82000,,Petrol,Karachi,Black,1500,,,200000
Suzuki Hustler G 2019,Suzuki,Hustler,G    ,2019,38000,37-A Main Boulevard Shok Chowk Johar Town Lahore.,Petrol,Un-Registered,Green,660,Imported,Automatic,245000
Toyota Corolla GLi 1.3 VVTi 2010,Toyota,Corolla,GLi 1.3 VVTi  ,2010,177000,,Petrol,Sindh,Grey,1300,,,159500
Toyota Prado TX 2.7 2011,Toyota,Prado,TX 2.7   ,2011,90000,6th road near Nawaz Sharif park,Petrol,Lahore,Black,2700,Imported,Automatic,12600000
