title,make,model,trim ,year,mileagekm,location,fueltype,registeredcity,color,enginecapacitycc,assembly,automatic,pricePKR
Toyota Vitz 1.0 F Spider 2015,Toyota,Vitz,1.0 F Spider,2015,"73,215","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,Grey,,,automatic,2180000
Daihatsu Hijet 660cc Deluxe 2 Pwr 2013,Daihatsu,Hijet Cargo,660cc 2 Pwr,2013,"239,764","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,White,660,,manual,1270000
Toyota Corolla 1.3 GLI Super ECT 2017,Toyota,Corolla,1.3 GLI Super ECT,2017,"98,352","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore",Petrol,Islamabad,Silver,,,automatic,2900000
Daihatsu Cuore 850cc CX Eco 2010,Daihatsu,Cuore,850cc CX Eco,2010,"85,129","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",PetrolCompressedNaturalGas,Karachi,Beige,850,,manual,760000
Mitsubishi MiniCab 660cc 2 pwr 2011,Mitsubishi,MiniCab,660cc 2 pwr,2011,"101,636","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,White,660,,automatic,980000
FAW Carrier 1.0.0 2017,FAW,Carrier,1.0.0,2017,"1,541,112","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,White,,,manual,525000
Honda Civic 1.8 i-VTEC 2015,Honda,Civic,1.8 i-VTEC,2015,"12,344","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,Grey,,,manual,2300000
Suzuki Cultus 1.0 VXRi 2010,Suzuki,Cultus,1.0 VXRi,2010,"65,101","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore",PetrolCompressedNaturalGas,Lahore,Grey,,,manual,960000
Toyota Corolla 1.3 GLI New Key Super ECT 2016,Toyota,Corolla,1.3 GLI New Key Super ECT,2016,"85,458","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,White,,,automatic,2580000
Nissan Juke 1.5 Red Interior 2011,Nissan,Juke,1.5 Red Interior,2011,"95,515","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,Red,,,automatic,2180000
Suzuki Alto 660cc VXR 2021,Suzuki,Alto,660cc VXR,2021,"33,760","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,Silver,660,,manual,1610000
Suzuki Cultus 1.0 VXR Euro II 2013,Suzuki,Cultus,1.0 VXR Euro II,2015,"1,180,000","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",PetrolCompressedNaturalGas,Karachi,White,,,manual,1180000
Suzuki Cultus 1.0 Limited Edition 2016,Suzuki,Cultus,1.0 Limited Edition,2016,"22,255","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,Grey,,,manual,1330000
Suzuki Swift 1.3 DX 2015,Suzuki,Swift,1.3 DX,2015,"162,018","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore",Petrol,Multan,White,,,manual,1400000
Suzuki Cultus 1.0 VXL 2018,Suzuki,Cultus,1.0 VXL,2018,"46,272","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,Grey,,,manual,1930000
Honda Civic 1.8 i-VTEC Oriel Prosmatec UG-Reborn 2012,Honda,Civic,1.8 i-VTEC Oriel Prosmatec UG-Reborn,2012,"80,012","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,White,,,automatic,2000000
Suzuki Alto 660cc F 2014,Suzuki,Alto,660cc F,2014,"70,407","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,Brown,660,,automatic,1480000
Suzuki Mehran 800cc VX 2004,Suzuki,Mehran,800cc VX,2004,"96,731","94 Street 7, I-10/3 I 10/3 I-10, Islamabad, Pakistan, Islamabad",PetrolCompressedNaturalGas,Karachi,White,800,,manual,250000
Suzuki Swift 1.3 DX 2015,Suzuki,Swift,1.3 DX,2015,"102,052","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore",,C,,,,manual,1460000
Honda City 1.3 i-DSI 2005,Honda,City,1.3 i-DSI,2005,"441,116","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore",Petrol,Islamabad,Silver,,,manual,1100000
Honda City 1.3 i-VTEC 2018,Honda,City,1.3 i-VTEC,2018,"87,345","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore",Petrol,Lahore,White,,,manual,2400000
Daihatsu Cuore 850cc CX Eco 2008,Daihatsu,Cuore,850cc CX Eco,2008,"118,457","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",PetrolCompressedNaturalGas,Karachi,Gold,850,,manual,630000
Suzuki Alto 660cc VXR 2021,Suzuki,Alto,660cc VXR,2021,"13,417","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,White,660,,manual,1750000
Suzuki Cultus 1.0 VXR Euro II 2015,Suzuki,Cultus,1.0 VXR Euro II,2015,"94,393","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,White,,,manual,1180000
Honda City 1.3 i-VTEC Prosmatec 2018,Honda,City,1.3 i-VTEC Prosmatec,2018,"101,707","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore",Petrol,Lahore,Silver,,,automatic,2650000
Suzuki Swift 1.3 DX 2015,Suzuki,Swift,1.3 DX,2015,"118,747","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore",Petrol,Peshawar,White,,,manual,1380000
Toyota Corolla 1.6 Altis Super ECT Old Key 2016,Toyota,Corolla,1.6 Altis Super ECT Old Key,2016,"84,431","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore",Petrol,Lahore,Black,,,automatic,2850000
Honda Fit 1.5 Hybrid 2014,Honda,Fit,1.5 Hybrid,2014,"75,443","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore",PetrolElectric,Islamabad,White,,,automatic,2450000
Toyota Corolla 1.3 GLI 2012,Toyota,Corolla,1.3 GLI,2012,"108,463","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore",Petrol,Islamabad,Black,,,manual,1900000
Toyota Corolla 1.3 XLI - Old Shape 2014,Toyota,Corolla,1.3 XLI - Old Shape,2014,"136,821","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore",Petrol,Islamabad,White,,,manual,2000000
Toyota Hilux 3.0D Vigo Champ G 2012,Toyota,Hilux,3.0D Vigo Champ G,2012,"86,200","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Diesel,Karachi,White,,,automatic,5200000
Honda Vezel 1.5 Hybrid Z 2015,Honda,Vezel,1.5 Hybrid Z,2015,"71,402","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",PetrolElectric,Karachi,Red,,,automatic,3200000
Honda Civic 1.8 i-VTEC Oriel CVT UG 2017,Honda,Civic,1.8 i-VTEC Oriel CVT UG,2017,"85,518","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore",Petrol,Lahore,White,,,automatic,3480000
Honda Civic 1.8 i-VTEC 2013,Honda,Civic,1.8 i-VTEC,2013,"206,484","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore",Petrol,Lahore,White,,,manual,2120000
Suzuki Alto 660cc VXR 2021,Suzuki,Alto,660cc VXR,2021,"18,699","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,White,660,,manual,1750000
Nissan Dayz 660cc Highway Star X 2014,Nissan,Dayz,660cc Highway Star X,2014,"100,221","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,Black,660,,automatic,1680000
Toyota Land Cruiser 2.7 Prado TXL 2004,Toyota,Land Cruiser,2.7 Prado TXL,2004,"129,751","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,Black,,,automatic,5600000
Honda Civic 1.8 i-VTEC Prosmatec 2008,Honda,Civic,1.8 i-VTEC Prosmatec,2008,"101,438","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,Black,,,automatic,1350000
Honda Civic 1.8 i-VTEC 2010,Honda,Civic,1.8 i-VTEC,2010,"104,431","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",,C,,,,manual,1520000
Honda Vezel 1.5 Hybrid X 2014,Honda,Vezel,1.5 Hybrid X,2014,"71,263","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore",PetrolElectric,Islamabad,White,,,automatic,3150000
Suzuki Alto 1.0 VXR 2011,Suzuki,Alto,1.0 VXR,2011,"144,948","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",PetrolCompressedNaturalGas,Karachi,White,,,manual,860000
Suzuki Alto 660cc VXR 2021,Suzuki,Alto,660cc VXR,2021,"20,727","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,White,660,,manual,1750000
Suzuki Cultus 1.0 VXR Euro II 2014,Suzuki,Cultus,1.0 VXR Euro II,2014,"3,901","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,White,,,manual,1180000
Suzuki Bolan 800cc VX 2014,Suzuki,Bolan,800cc VX,2014,"129,292","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore",Petrol,Lahore,White,800,,manual,650000
Toyota Corolla 1.3 XLI - Old Shape 2014,Toyota,Corolla,1.3 XLI - Old Shape,2014,"122,707","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,White,,,manual,1800000
Suzuki Wagon R 1.0 VXL 2018,Suzuki,Wagon R,1.0 VXL,2018,"136,067","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore",Petrol,Lahore,Grey,,,manual,1480000
KIA Sportage 2.0 AWD 2020,KIA,Sportage,2.0 AWD,2020,"25,607","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,White,,,automatic,5700000
Suzuki Swift 1.3 DX 2014,Suzuki,Swift,1.3 DX,2014,"87,382","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore",Petrol,Peshawar,White,,,manual,1350000
Suzuki Cultus 1.0 VXL 2018,Suzuki,Cultus,1.0 VXL,2018,"108,890","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,White,,,manual,1850000
Daihatsu Hijet 660cc 2 PWR 2016,Daihatsu,Hijet,660cc 2 PWR,2016,"70,867","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,White,660,,automatic,1550000
Suzuki Cultus 1.0 Limited Edition 2016,Suzuki,Cultus,1.0 Limited Edition,2016,"92,212","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,Beige,,,manual,1300000
Suzuki Cultus 1.0 VXR Euro II 2015,Suzuki,Cultus,1.0 VXR Euro II,2015,"87,211","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,White,,,manual,1250000
Suzuki Swift 1.3 DX 2011,Suzuki,Swift,1.3 DX,2011,"190,056","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,Grey,,,manual,1100000
Suzuki Cultus 1.0 VXR Euro II 2015,Suzuki,Cultus,1.0 VXR Euro II,2015,"78,474","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,Pink,,,manual,1170000
Suzuki Alto 660cc VXR 2021,Suzuki,Alto,660cc VXR,2021,"21,592","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,White,660,,manual,1725000
Suzuki Cultus 1.0 Limited Edition 2016,Suzuki,Cultus,1.0 Limited Edition,2016,"77,590","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,Grey,,,manual,1380000
Suzuki Swift 1.3 DX 2015,Suzuki,Swift,1.3 DX,2015,"183,208","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore",Petrol,Peshawar,White,,,manual,1450000
Suzuki Alto 660cc VXR 2021,Suzuki,Alto,660cc VXR,2021,"5,506","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,White,660,,manual,1780000
Suzuki Cultus 1.0 Limited Edition 2016,Suzuki,Cultus,1.0 Limited Edition,2016,"26,631","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,Grey,,,manual,1280000
Toyota Corolla 1.3 GLI -Super ECT 2015,Toyota,Corolla,1.3 GLI -Super ECT,2015,"73,315","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,Black,,,automatic,2470000
Suzuki Cultus 1.0 VXR Euro II 2015,Suzuki,Cultus,1.0 VXR Euro II,2015,"8,438","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,White,,,manual,1280000
Daihatsu Mira 660cc LSA 2019,Daihatsu,Mira,660cc LSA,2019,"23,362","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,Silver,660,,automatic,2350000
Suzuki Cultus 1.0 VXRi 2007,Suzuki,Cultus,1.0 VXRi,2007,"78,830","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",PetrolCompressedNaturalGas,Karachi,White,,,manual,630000
Daihatsu Cuore 850cc CX 2008,Daihatsu,Cuore,850cc CL,2008,"77,320","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",PetrolCompressedNaturalGas,Karachi,White,850,,manual,650000
Toyota Corolla 1.3 GLI 2013,Toyota,Corolla,1.3 GLI,2013,"150,147","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,Purple,,,manual,1750000
Suzuki Cultus 1.0 VXLi 2008,Suzuki,Cultus,1.0 VXLi,2008,"52,898","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",PetrolCompressedNaturalGas,Karachi,Blue,,,manual,820000
Suzuki Alto 660cc VXR 2020,Suzuki,Alto,660cc VXR,2020,"27,572","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,Silver,660,,manual,1650000
Honda City 1.3 i-VTEC 2017,Honda,City,1.3 i-VTEC,2017,"130,862","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,Grey,,,manual,2200000
Mitsubishi EK Wagon 660cc 2008,Mitsubishi,EK Wagon,660cc,2008,"111,452","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,Black,660,,automatic,1230000
Toyota Vitz 1.0 B 2006,Toyota,Vitz,1.0 B,2006,"166,638","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,White,,,automatic,1400000
Suzuki Cultus 1.0 VXLi 2008,Suzuki,Cultus,1.0 VXLi,2008,"29,737","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",PetrolCompressedNaturalGas,Karachi,Blue,,,manual,860000
Nissan Clipper 660 2013,Nissan,Clipper,660cc NV-100,2013,"125,482","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,Grey,660,,manual,1100000
Suzuki Alto 660cc VXR 2021,Suzuki,Alto,660cc VXR,2021,"22,859","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,White,660,,manual,1750000
Honda Civic 1.8 i-VTEC - Reborn 2012,Honda,Civic,1.8 i-VTEC - Reborn,2012,"242,476","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,Black,,,manual,1600000
Suzuki Mehran 800cc VXR Euro II 2017,Suzuki,Mehran,800cc VXR Euro II,2017,"27,512","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,White,800,,manual,830000
Nissan Clipper 660cc NV-100 2012,Nissan,Clipper,660cc NV-100,2012,"150,626","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore",Petrol,Islamabad,White,660,,automatic,1100000
Mazda Scrum 660cc 4-pwr Turbo 2013,Mazda,Scrum,660cc 4-pwr Turbo,2013,"190,066","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,Black,660,,automatic,1530000
Honda City 1.5 i-VTEC Aspire 2015,Honda,City,1.5 i-VTEC Aspire,2015,"202,039","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore",Petrol,Lahore,White,,,manual,2150000
Suzuki Mehran 800cc VX 2009,Suzuki,Mehran,800cc VX,2009,"21,974","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,White,800,,manual,490000
Toyota Corolla 1.3 XLI - Old Shape 2014,Toyota,Corolla,1.3 XLI - Old Shape,2014,"156,436","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore",Petrol,Lahore,White,,,manual,1930000
Honda Civic 1.8 i-VTEC Oriel Prosmatec UG 2014,Honda,Civic,1.8 i-VTEC Oriel Prosmatec UG,2014,"76,416","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,Black,,,automatic,2610000
Toyota Corolla 1.3 XLI 2013,Toyota,Corolla,1.3 XLI,2013,"127,637","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,Red,,,manual,1780000
Suzuki Alto 660cc VXL AGS 2019,Suzuki,Alto,660cc VXL AGS,2019,"19,906","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,Grey,660,,automatic,1800000
Toyota Aqua 1.5 S Push Start 2015,Toyota,Aqua,1.5 S Push Start,2015,"99,629","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",PetrolElectric,Karachi,Silver,,,automatic,2750000
Suzuki Cultus 1.0 VXR Euro II 2015,Suzuki,Cultus,1.0 VXR Euro II,2015,"59,520","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,Grey,,,manual,1180000
Honda City 1.3 i-VTEC 2018,Honda,City,1.3 i-VTEC,2018,"67,904","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore",Petrol,Lahore,White,,,manual,2500000
Toyota Corolla 1.3 GLI 2012,Toyota,Corolla,1.3 GLI,2012,"82,753","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,Red,,,manual,1850000
Suzuki Swift 1.3 DX 2015,Suzuki,Swift,1.3 DX,2015,"105,238","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore",Petrol,Peshawar,White,,,manual,1520000
Suzuki Cultus 1.0 VXR 2007,Suzuki,Cultus,1.0 VXR,2007,"76,499","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",PetrolCompressedNaturalGas,Karachi,Black,,,manual,740000
Subaru Pleo 660cc L 2016,Subaru,Pleo,660cc L,2016,"81,835","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,Blue,660,,automatic,1560000
Toyota Corolla 1.8 Altis Grande CVT-i Cruisetronic 2016,Toyota,Corolla,1.8 Altis Grande CVT-i Cruisetronic,2016,"136,219","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore",Petrol,Lahore,White,,,automatic,2870000
Suzuki Swift 1.2 XG 2013,Suzuki,Swift,1.2 XG,2007,"126,925","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,Black,,,automatic,1450000
Honda Civic 1.6 VTi Oriel Prosmatec 2002,Honda,Civic,1.6 VTi Oriel Prosmatec,2002,"141,622","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,Pink,,,automatic,980000
Suzuki Alto 660cc VXR 2020,Suzuki,Alto,660cc VXR,2020,"48,381","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore",Petrol,Karachi,White,660,,manual,1630000
Toyota Corolla 1.3 XLI 2010,Toyota,Corolla,1.3 XLI,2011,"75,652","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi",Petrol,Karachi,White,,,manual,1450000
Honda Civic 1.8 i-VTEC Oriel CVT UG 2018,Honda,Civic,1.8 i-VTEC Oriel CVT UG,2018,"73,595","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore",Petrol,Islamabad,White,,,automatic,3650000
Suzuki Swift 1.3 DX 2014,Suzuki,Swift,1.3 DX,2014,"119,701","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore",Petrol,Peshawar,White,,,manual,1400000
Suzuki Swift 1.3 DX 2015,Suzuki,Swift,1.3 DX,2015,"139,244","Ali Trade Centre, MM Alam Road, Block B1 Block B 1 Gulberg III, Lahore, Pakistan, Lahore",Petrol,Peshawar,White,,,manual,1500000
