web-scraper-order,web-scraper-start-url,links,links-href,title,make,trim,year,model,mileage,location,registeryear,fueltype,registeredcity,grade,color,noofownerandaccident,price,pages,pages-href,Automatic,assembly
"1648984957-187","https://buy.carfirst.com/used-cars","Suzuki Cultus 1.0 Limited Edition 2016
                                    
                                    
                                                                                2016 
                                                                                                                        Cultus 
                                                                                                                        26,631 
                                                                            
                                    
                                                                              PKR 1,280,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/suzuki-cultus-2016-1-0-limited-edition-pk-1173582?car=warranty","Suzuki Cultus 1.0 Limited Edition 2016","Suzuki","1.0 Limited Edition","2016","Cultus","26,631","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2016","Petrol","Karachi","C","Grey","1 Owner 

                            0 Accident","PKR 1,280,000","4","https://buy.carfirst.com/used-cars?page=4","manual","Assembly"
"1648985048-223","https://buy.carfirst.com/used-cars","Toyota Corolla 1.3 GLI -Super ECT 2015
                                    
                                    
                                                                                2015 
                                                                                                                        Corolla 
                                                                                                                        73,315 
                                                                            
                                    
                                                                              PKR 2,470,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/toyota-corolla-2015-1-3-gli-super-ect-pk-1175248","Toyota Corolla 1.3 GLI -Super ECT 2015","Toyota","1.3 GLI -Super ECT","2015","Corolla","73,315","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2016","Petrol","Karachi","B","Black","4 Owner 

                            0 Accident","PKR 2,470,000","2","https://buy.carfirst.com/used-cars?page=2","automatic","Assembly"
"1648984995-202","https://buy.carfirst.com/used-cars","Suzuki Cultus 1.0 VXR Euro II 2015
                                    
                                    
                                                                                2015 
                                                                                                                        Cultus 
                                                                                                                        8,438 
                                                                            
                                    
                                                                              PKR 1,280,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/suzuki-cultus-2015-1-0-vxr-euro-ii-pk-1173601","Suzuki Cultus 1.0 VXR Euro II 2015","Suzuki","1.0 VXR Euro II","2015","Cultus","8,438","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2015","Petrol","Karachi","C","White","1 Owner 

                            0 Accident","PKR 1,280,000","3","https://buy.carfirst.com/used-cars?page=3","manual","Assembly"
"1648984813-130","https://buy.carfirst.com/used-cars","Daihatsu Mira 660cc LSA 2019
                                    
                                    
                                                                                2019 
                                                                                                                        Mira 
                                                                                                                        23,362 
                                                                            
                                    
                                                                              PKR 2,350,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/daihatsu-mira-2019-660cc-lsa-pk-1178165?car=warranty","Daihatsu Mira 660cc LSA 2019","Daihatsu","660cc LSA","2019","Mira","23,362","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2021","Petrol","Karachi","B","Silver","1 Owner 

                            0 Accident","PKR 2,350,000","8","https://buy.carfirst.com/used-cars?page=8","automatic","Assembly"
"1648984998-203","https://buy.carfirst.com/used-cars","Suzuki Cultus 1.0 VXRi 2007
                                    
                                    
                                                                                2007 
                                                                                                                        Cultus 
                                                                                                                        78,830 
                                                                            
                                    
                                                                              PKR 630,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/suzuki-cultus-2007-1-0-vxri-pk-1169695","Suzuki Cultus 1.0 VXRi 2007","Suzuki","1.0 VXRi","2007","Cultus","78,830","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2007","PetrolCompressedNaturalGas","Karachi","D","White","4 Owner 

                            0 Accident","PKR 630,000","3","https://buy.carfirst.com/used-cars?page=3","manual","Assembly"
"1648984794-123","https://buy.carfirst.com/used-cars","Daihatsu Cuore 850cc CX 2008
                                    
                                    
                                                                                2008 
                                                                                                                        Cuore 
                                                                                                                        77,320 
                                                                            
                                    
                                                                              PKR 650,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/daihatsu-cuore-2008-850cc-cx-pk-1168253","Daihatsu Cuore 850cc CX 2008","Daihatsu","850cc CL","2008","Cuore","77,320","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2008","PetrolCompressedNaturalGas","Karachi","C","White","3 Owner 

                            0 Accident","PKR 650,000","9","https://buy.carfirst.com/used-cars?page=9","manual","Assembly"
"1648985057-227","https://buy.carfirst.com/used-cars","Toyota Corolla 1.3 GLI 2013
                                    
                                    
                                                                                2013 
                                                                                                                        Corolla 
                                                                                                                        150,147 
                                                                            
                                    
                                                                              PKR 1,750,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/toyota-corolla-2013-1-3-gli-pk-1171491","Toyota Corolla 1.3 GLI 2013","Toyota","1.3 GLI","2013","Corolla","150,147","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2013","Petrol","Karachi","C","Purple","2 Owner 

                            0 Accident","PKR 1,750,000","2","https://buy.carfirst.com/used-cars?page=2","manual","Assembly"
"1648984971-193","https://buy.carfirst.com/used-cars","Suzuki Cultus 1.0 VXLi 2008
                                    
                                    
                                                                                2008 
                                                                                                                        Cultus 
                                                                                                                        52,898 
                                                                            
                                    
                                                                              PKR 820,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/suzuki-cultus-2008-1-0-vxli-pk-1172123","Suzuki Cultus 1.0 VXLi 2008","Suzuki","1.0 VXLi","2008","Cultus","52,898","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2008","PetrolCompressedNaturalGas","Karachi","D","Blue","4 Owner 

                            0 Accident","PKR 820,000","4","https://buy.carfirst.com/used-cars?page=4","manual","Assembly"
"1648984919-172","https://buy.carfirst.com/used-cars","Suzuki Alto 660cc VXR 2020
                                    
                                    
                                                                                2020 
                                                                                                                        Alto 
                                                                                                                        27,572 
                                                                            
                                    
                                                                              PKR 1,650,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/suzuki-alto-2020-660cc-vxr-pk-1172580?car=warranty","Suzuki Alto 660cc VXR 2020","Suzuki","660cc VXR","2020","Alto","27,572","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2020","Petrol","Karachi","B","Silver","2 Owner 

                            0 Accident","PKR 1,650,000","5","https://buy.carfirst.com/used-cars?page=5","manual","Assembly"
"1648984820-133","https://buy.carfirst.com/used-cars","Honda City 1.3 i-VTEC 2017
                                    
                                    
                                                                                2017 
                                                                                                                        City 
                                                                                                                        130,862 
                                                                            
                                    
                                                                              PKR 2,200,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/honda-city-2017-1-3-i-vtec-pk-1173525","Honda City 1.3 i-VTEC 2017","Honda","1.3 i-VTEC","2017","City","130,862","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2017","Petrol","Karachi","C","Grey","1 Owner 

                            0 Accident","PKR 2,200,000","8","https://buy.carfirst.com/used-cars?page=8","manual","Assembly"
"1648984889-160","https://buy.carfirst.com/used-cars","Mitsubishi EK Wagon 660cc 2008
                                    
                                    
                                                                                2008 
                                                                                                                        EK Wagon 
                                                                                                                        111,452 
                                                                            
                                    
                                                                              PKR 1,230,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/mitsubishi-ek-wagon-2008-660cc-pk-1172925","Mitsubishi EK Wagon 660cc 2008","Mitsubishi","660cc","2008","EK Wagon","111,452","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2012","Petrol","Karachi","C","Black","2 Owner 

                            0 Accident","PKR 1,230,000","6","https://buy.carfirst.com/used-cars?page=6","automatic","Assembly"
"1648985094-243","https://buy.carfirst.com/used-cars","Toyota Vitz 1.0 B 2006
                                    
                                    
                                                                                2006 
                                                                                                                        Vitz 
                                                                                                                        166,638 
                                                                            
                                    
                                                                              PKR 1,400,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/toyota-vitz-2006-1-0-b-pk-1176765","Toyota Vitz 1.0 B 2006","Toyota","1.0 B","2006","Vitz","166,638","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2011","Petrol","Karachi","C","White","3 Owner 

                            0 Accident","PKR 1,400,000","","","automatic","Assembly"
"1648984969-192","https://buy.carfirst.com/used-cars","Suzuki Cultus 1.0 VXLi 2008
                                    
                                    
                                                                                2008 
                                                                                                                        Cultus 
                                                                                                                        29,737 
                                                                            
                                    
                                                                              PKR 860,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/suzuki-cultus-2008-1-0-vxli-pk-1176388","Suzuki Cultus 1.0 VXLi 2008","Suzuki","1.0 VXLi","2008","Cultus","29,737","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2008","PetrolCompressedNaturalGas","Karachi","B","Blue","4 Owner 

                            0 Accident","PKR 860,000","4","https://buy.carfirst.com/used-cars?page=4","manual","Assembly"
"1648984893-162","https://buy.carfirst.com/used-cars","Nissan Clipper 660 2013
                                    
                                    
                                                                                2013 
                                                                                                                        Clipper 
                                                                                                                        125,482 
                                                                            
                                    
                                                                              PKR 1,100,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/nissan-clipper-2013-660-pk-1151941","Nissan Clipper 660 2013","Nissan","660cc NV-100","2013","Clipper","125,482","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2018","Petrol","Karachi","B","Grey","2 Owner 

                            0 Accident","PKR 1,100,000","6","https://buy.carfirst.com/used-cars?page=6","manual","Assembly"
"1648984933-178","https://buy.carfirst.com/used-cars","Suzuki Alto 660cc VXR 2021
                                    
                                    
                                                                                2021 
                                                                                                                        Alto 
                                                                                                                        22,859 
                                                                            
                                    
                                                                              PKR 1,750,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/suzuki-alto-2021-660cc-vxr-pk-1175639?car=warranty","Suzuki Alto 660cc VXR 2021","Suzuki","660cc VXR","2021","Alto","22,859","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2021","Petrol","Karachi","B","White","1 Owner 

                            0 Accident","PKR 1,750,000","5","https://buy.carfirst.com/used-cars?page=5","manual","Assembly"
"1648984834-139","https://buy.carfirst.com/used-cars","Honda Civic 1.8 i-VTEC - Reborn 2012
                                    
                                    
                                                                                2012 
                                                                                                                        Civic 
                                                                                                                        242,476 
                                                                            
                                    
                                                                              PKR 1,600,000
                                                                                
                                    
                                    
                                      
                                         

                                                                                Khalid Bin Waleed Road
                                                                                                                        , Karachi","https://buy.carfirst.com/used-cars/honda-civic-2012-1-8-i-vtec-reborn-pk-1174200","Honda Civic 1.8 i-VTEC - Reborn 2012","Honda","1.8 i-VTEC - Reborn","2012","Civic","242,476","Shop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.Cthis .H.S Society Main Khalid Bin Waleed Road Karachi, Karachi","2012","Petrol","Karachi","B","Black","2 Owner 

                            0 Accident","PKR 1,600,000","8","https://buy.carfirst.com/used-cars?page=8","manual","Assembly"
