web-scraper-order,web-scraper-start-url,links,links-href,title,mileage,location,registeryear,fueltype,registeredcity,color,enginecapacity,assembly,bodytype,automatic,pages,pages-href,price
"1648914420-452","https://www.pakwheels.com/used-cars/search/-/","Suzuki Wagon R  2017 VXL for Sale","https://www.pakwheels.com/used-cars/suzuki-wagon-r-2017-for-sale-in-jhelum-5506799","Suzuki Wagon R VXL 2017","69,000 km","null","null","Petrol","Rawalpindi","Grey","1000 cc","null","null","null","5","https://www.pakwheels.com/used-cars/search/-/?page=5","PKR 16.5 lacs"
"1648914349-429","https://www.pakwheels.com/used-cars/search/-/","Toyota Corolla  2010 GLi 1.3 VVTi for Sale","https://www.pakwheels.com/used-cars/toyota-corolla-2010-for-sale-in-peshawar-6066040","Toyota Corolla GLi 1.3 VVTi 2010","164,000 km","null","null","Petrol","Karachi","Gold","1300 cc","null","null","null","…","https://www.pakwheels.com/used-cars/search/-/#","PKR 14.9 lacs"
"1648914724-555","https://www.pakwheels.com/used-cars/search/-/","Toyota Corolla  2014 Altis Grande CVT-i 1.8 fo...","https://www.pakwheels.com/used-cars/toyota-corolla-2014-for-sale-in-islamabad-6065727","Toyota Corolla Altis Grande CVT-i 1.8 2014","91,000 km","null","null","Petrol","Lahore","White","1800 cc","Imported","null","Automatic","2","https://www.pakwheels.com/used-cars/search/-/?page=2","PKR 27.9 lacs"
"1648914516-483","https://www.pakwheels.com/used-cars/search/-/","Hyundai Tucson  2022 FWD A/T GLS Sport for Sale","https://www.pakwheels.com/used-cars/hyundai-tucson-2022-for-sale-in-sialkot-6065965","Hyundai Tucson FWD A/T GLS Sport 2022","1 km","null","null","Petrol","Un-Registered","White","2000 cc","null","null","Automatic","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 65.5 lacs"
"1648914735-558","https://www.pakwheels.com/used-cars/search/-/","Honda Civic Reborn 2009 VTi 1.8 i-VTEC for Sale","https://www.pakwheels.com/used-cars/honda-civic-2009-for-sale-in-islamabad-6066018","Honda Civic VTi 1.8 i-VTEC 2009","153,000 km","null","null","Petrol","Lahore","Black","1800 cc","null","null","null","","","PKR 16.5 lacs"
"1648914510-481","https://www.pakwheels.com/used-cars/search/-/","Suzuki Alto  2022 VXR for Sale","https://www.pakwheels.com/used-cars/suzuki-alto-2022-for-sale-in-lahore-6065963","Suzuki Alto VXR 2022","25 km","null","null","Petrol","Un-Registered","Silver","660 cc","null","null","null","4","https://www.pakwheels.com/used-cars/search/-/?page=4","PKR 18 lacs"
"1648914671-536","https://www.pakwheels.com/used-cars/search/-/","Honda City  2022 1.5L CVT for Sale","https://www.pakwheels.com/used-cars/honda-city-2022-for-sale-in-lahore-6065997","Honda City 1.5L CVT 2022","1 km","null","null","Petrol","Un-Registered","Grey","1500 cc","null","null","Automatic","2","https://www.pakwheels.com/used-cars/search/-/?page=2","PKR 35.2 lacs"
"1648914760-565","https://www.pakwheels.com/used-cars/search/-/","Toyota Corolla  1994 SE Limited for Sale","https://www.pakwheels.com/used-cars/toyota-corolla-1994-for-sale-in-islamabad-6066026","Toyota Corolla SE Limited 1994","81,595 km","null","null","Petrol","Un-Registered","Navy","1600 cc","Imported","null","null","","","PKR 13.2 lacs"
"1648914665-535","https://www.pakwheels.com/used-cars/search/-/","Mitsubishi Ek Wagon  2011  for Sale
                    7.1/10","https://www.pakwheels.com/used-cars/mitsubishi-ek-wagon-2011-for-sale-in-lahore-6063094","Mitsubishi Ek Wagon 2011","62,405 km","null","null","Petrol","Lahore","Silver","660 cc","Imported","null","Automatic","3","https://www.pakwheels.com/used-cars/search/-/?page=3","PKR 14.75 lacs"
"1648914826-586","https://www.pakwheels.com/used-cars/search/-/","Daihatsu Mira  2018 L for Sale","https://www.pakwheels.com/used-cars/daihatsu-mira-2018-for-sale-in-lahore-6066023","Daihatsu Mira L 2018","34,000 km","37-A Main Boulevard Shok Chowk Johar Town Lahore.","null","Petrol","Un-Registered","Black","660 cc","Imported","null","Automatic","","","PKR 22.5 lacs"
